Network_Latency_ms,Packet_Loss_%,Temperature_C,Vibration_Hz,Power_Consumption_kW,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status
12.651,0.919,73.913,1.165,6.527,2.4,469.991,0.952,5.659,1
43.559,3.477,67.697,4.26,2.572,2.293,171.275,0.975,12.929,1
25.244,4.659,65.858,0.751,4.253,7.951,126.033,0.715,2.438,1
32.45,3.938,59.413,2.007,3.03,7.777,248.985,0.276,4.788,2
30.449,1.468,41.909,2.725,6.507,0.576,323.183,0.953,8.723,1
29.455,0.306,38.316,4.88,9.317,4.164,249.754,0.479,11.011,1
22.817,2.887,52.147,2.071,9.953,8.037,121.15,0.466,11.667,1
32.333,0.068,43.968,1.221,7.168,9.127,458.123,0.804,6.325,1
10.336,1.444,78.174,4.489,6.912,9.556,354.082,0.09,3.6,2
44.646,4.679,65.911,2.958,4.461,0.696,185.885,0.461,8.631,1
14.994,1.861,72.699,3.305,6.328,6.737,298.795,0.193,1.475,2
30.945,0.676,59.796,4.569,3.463,8.12,235.772,0.208,2.73,2
36.774,1.312,36.826,4.76,9.256,4.037,141.352,0.132,13.124,1
13.798,3.616,75.723,4.384,2.293,9.831,204.924,0.401,4.538,2
46.027,2.673,66.584,2.299,4.92,7.475,167.006,0.37,12.452,1
39.145,4.235,66.69,2.882,6.906,5.534,166.217,0.67,7.515,1
49.384,3.369,46.844,4.656,4.673,6.617,80.551,0.627,13.819,1
45.016,0.566,64.408,0.851,5.93,9.979,230.751,0.915,11.645,1
44.794,2.646,84.205,2.469,1.891,5.159,447.408,0.531,14.993,1
15.513,3.881,52.948,4.293,5.088,0.146,120.804,0.353,2.241,1
34.312,2.208,64.994,3.059,3.957,3.235,131.403,0.694,6.419,1
33.376,2.494,37.553,2.534,5.147,5.898,203.826,0.824,11.188,1
32.024,3.986,52.702,4.151,1.783,7.377,312.56,0.305,1.769,2
41.263,4.056,86.756,4.623,3.234,7.96,419.536,0.74,5.315,1
39.885,1.839,46.207,0.58,6.174,2.49,472.869,0.721,1.049,0
2.656,1.038,78.382,0.204,7.941,6.446,451.437,0.648,8.461,1
5.103,2.783,84.505,2.108,4.561,4.517,223.214,0.05,12.284,1
6.546,3.158,89.558,2.671,6.81,2.366,463.952,0.176,10.65,1
39.854,0.212,55.598,3.083,5.331,0.653,236.775,0.971,13.24,1
39.294,4.175,43.862,2.156,3.964,7.358,435.233,0.427,14.632,1
47.23,1.06,61.62,3.765,7.655,5.839,97.567,0.532,3.417,1
38.352,4.624,63.811,0.529,5.801,5.688,282.383,0.587,5.168,1
22.015,3.157,79.473,2.494,7.437,2.817,128.198,0.214,14.341,1
7.074,1.3,38.323,2.421,6.707,3.79,329.922,0.071,6.308,1
27.075,2.343,55.435,4.854,9.496,7.833,495.297,0.177,14.055,1
42.564,1.609,87.9,2.126,8.842,4.703,392.728,0.457,7.093,1
6.005,4.452,88.895,3.715,4.492,9.453,482.136,0.973,1.232,0
1.191,4.848,65.612,0.591,1.552,3.165,487.609,0.42,6.994,1
35.512,4.108,63.268,1.1,6.326,1.728,141.071,0.587,13.703,1
42.383,1.287,38.1,4.386,1.857,1.637,118.286,0.001,5.034,1
11.499,3.723,87.333,2.854,7.174,0.247,287.546,0.104,3.66,2
21.496,2.875,41.068,2.019,3.991,9.332,261.246,0.177,5.702,1
38.808,3.645,32.256,0.932,7.412,1.361,428.086,0.752,12.337,1
6.399,0.557,60.996,4.939,7.58,0.523,342.714,0.035,14.598,1
42.632,3.514,69.27,4.745,8.469,4.082,220.352,0.156,3.736,2
24.677,2.068,69.321,3.923,6.407,1.102,146.672,0.946,14.381,1
21.309,2.436,79.036,4.322,9.315,4.335,274.925,0.969,7.074,1
13.427,1.347,73.922,0.641,3.529,8.342,91.273,0.825,0.164,1
21.765,1.149,42.331,2.076,7.38,8.154,499.524,0.746,1.684,0
35.826,4.87,86.051,3.723,8.981,2.517,261.845,0.527,4.639,2
15.988,1.123,42.432,3.172,9.521,8.122,363.085,0.598,6.135,1
42.001,1.03,52.03,2.939,2.549,0.527,477.129,0.329,10.071,1
36.342,0.27,65.335,0.454,9.552,1.361,139.423,0.391,3.565,1
16.697,2.866,46.718,2.434,3.056,1.223,271.014,0.745,8.495,1
42.809,3.778,45.587,3.039,2.02,8.052,414.056,0.701,12.94,1
31.641,1.493,68.173,1.388,7.988,2.141,499.749,0.711,9.655,1
9.959,4.729,89.376,0.625,9.786,6.876,217.992,0.485,8.436,1
25.899,0.06,44.829,2.447,4.723,8.871,381.542,0.604,3.588,2
42.73,2.059,66.785,3.486,2.2,3.735,135.043,0.841,8.995,1
47.355,4.886,63.99,2.089,1.798,4.977,312.601,0.672,8.352,1
10.704,3.158,30.962,3.397,2.606,3.497,196.941,0.014,12.284,1
29.702,2.345,32.784,1.794,7.07,9.026,429.274,0.674,10.72,1
43.373,3.328,86.649,2.22,8.307,5.946,144.457,0.452,5.239,1
10.379,2.072,73.375,0.621,3.353,3.55,312.056,0.148,11.85,1
28.088,2.663,39.498,2.225,8.738,8.947,407.821,0.342,6.024,1
40.604,2.954,51.198,1.667,1.794,0.755,174.265,0.301,12.628,1
49.662,4.893,63.962,4.072,6.735,9.409,418.351,0.673,7.73,1
3.447,3.049,73.04,1.198,7.753,3.292,295.011,0.336,0.33,2
26.037,1.507,37.524,0.482,3.02,0.75,384.585,0.429,13.614,1
24.635,3.845,30.392,4.977,8.667,5.596,434.142,0.842,13.853,1
30.865,1.519,68.939,4.212,4.981,8.224,274.874,0.422,1.179,2
20.378,1.455,63.955,4.882,5.243,4.144,388.17,0.403,13.63,1
42.416,4.402,75.748,2.615,4.35,8.138,145.203,0.059,3.094,1
13.487,4.224,39.415,3.085,8.601,5.842,246.426,0.421,1.24,2
10.013,0.553,59.765,2.856,8.44,9.33,273.523,0.663,0.517,2
49.293,1.253,73.836,1.473,1.882,5.5,68.425,0.298,14.667,1
48.273,2.825,84.514,1.926,6.811,5.551,154.501,0.071,13.382,1
2.456,2.194,69.521,4.124,4.931,9.686,160.188,0.452,2.874,1
43.95,4.196,76.389,0.455,2.929,5.274,237.335,0.212,9.19,1
32.193,0.27,33.538,4.422,9.55,6.626,414.08,0.616,12.629,1
2.65,3.394,31.746,0.489,2.142,9.621,293.306,0.56,2.95,2
13.61,3.338,71.628,2.453,7.757,0.462,239.355,0.798,7.72,1
1.187,1.623,56.449,0.802,1.875,4.662,294.858,0.737,6.223,1
26.711,1.25,30.917,3.721,9.174,3.013,204.732,0.283,3.359,2
39.351,4.446,53.126,0.277,5.847,7.317,119.325,0.653,10.849,1
7.087,3.059,63.451,4.503,3.537,8.825,358.067,0.248,11.892,1
7.221,3.4,82.035,3.805,3.037,3.264,218.306,0.938,12.825,1
15.852,2.959,39.883,1.122,6.627,9.022,204.247,0.058,0.501,2
46.773,4.703,84.834,4.357,8.963,0.429,166.476,0.174,14.051,1
18.427,3.796,31.365,1.893,1.817,8.348,404.228,0.953,8.047,1
39.752,2.378,53.841,0.558,6.784,9.511,476.394,0.312,2.476,2
13.693,1.778,69.085,4.444,2.782,2.016,55.572,0.726,1.416,1
28.657,2.455,38.408,2.11,7.614,2.899,126.106,0.046,13.051,1
42.935,4.31,77.487,3.093,6.416,7.416,62.127,0.636,1.702,1
21.401,4.804,87.821,3.152,8.756,9.278,422.181,0.08,12.293,1
38.736,0.011,32.818,0.108,9.865,4.724,216.015,0.032,7.56,1
14.191,0.384,31.907,4.782,9.635,9.986,78.663,0.43,3.366,1
17.972,1.056,88.391,4.448,9.391,9.597,121.315,0.76,3.461,1
49.166,2.677,42.549,1.46,7.499,2.518,376.075,0.304,7.393,1
44.319,2.74,40.913,0.887,3.096,4.818,156.33,0.079,11.124,1
21.513,1.489,46.173,3.164,9.685,5.769,103.646,0.5,1.097,1
28.982,0.881,78.267,0.741,6.429,1.821,206.389,0.736,4.692,2
29.391,1.644,32.259,3.409,2.637,2.977,477.57,0.067,12.931,1
20.407,4.46,36.738,3.333,6.723,7.288,206.904,0.744,7.786,1
31.573,3.54,77.983,2.809,6.021,6.104,447.121,0.537,4.931,2
36.021,2.038,68.74,0.306,2.307,4.99,299.9,0.387,3.616,2
30.538,2.558,65.392,0.482,9.601,2.356,111.634,0.583,2.199,1
49.138,4.056,53.705,0.293,6.019,8.299,157.537,0.548,5.382,1
13.904,4.714,36.563,4.939,7.805,2.479,115.439,0.799,9.08,1
33.346,2.855,38.219,0.101,4.421,3.42,444.468,0.123,1.592,0
23.419,4.954,41.59,1.725,8.489,7.837,263.83,0.095,8.997,1
10.069,1.31,73.135,3.168,9.201,2.4,164.898,0.276,5.318,1
12.795,4.729,33.444,2.302,3.527,3.491,390.984,0.3,12.804,1
18.149,4.542,42.466,3.299,7.27,4.363,402.866,0.205,10.24,1
26.923,3.738,58.334,1.782,1.954,5.841,281.945,0.241,7.596,1
11.028,1.591,67.903,1.147,2.042,1.723,450.155,0.291,4.137,2
4.367,3.628,39.359,1.642,6.259,5.514,320.008,0.527,8.049,1
36.265,3.962,41.808,1.096,2.864,1.569,80.561,0.311,4.574,1
17.342,0.668,42.426,3.169,2.218,9.167,466.798,0.499,5.506,1
27.016,1.962,84.452,4.016,3.913,9.59,50.623,0.529,4.48,1
5.894,3.271,71.685,0.664,9.209,2.266,197.637,0.38,8.488,1
38.105,0.255,43.879,2.483,7.135,5.645,473.359,0.074,12.146,1
34.049,0.349,87.302,3.185,4.363,0.846,448.207,0.058,13.756,1
5.146,3.612,59.213,0.76,6.189,5.115,272.973,0.944,2.419,2
30.229,0.861,65.018,0.246,2.411,4.677,487.635,0.336,5.859,1
49.518,1.437,67.91,4.363,2.311,2.251,246.705,0.606,2.308,2
34.9,0.944,70.399,2.119,7.106,2.043,51.819,0.994,2.016,1
43.303,0.935,64.669,2.523,2.533,1.158,133.377,0.29,0.613,1
29.387,0.155,53.909,2.045,6.849,4.07,493.604,0.84,1.23,0
30.734,2.466,42.686,1.28,5.006,8.898,487.176,0.835,6.86,1
20.883,1.733,58.334,1.793,2.012,2.255,270.886,0.787,7.684,1
18.984,1.413,66.81,2.947,7.918,8.364,418.593,0.789,1.737,0
4.906,2.377,62.443,2.278,6.24,8.502,419.497,0.323,8.727,1
26.645,2.464,64.157,0.488,5.873,9.217,280.327,0.504,6.202,1
30.021,2.283,35.527,2.401,7.887,2.968,451.945,0.096,13.534,1
33.884,0.913,43.172,3.82,8.485,3.558,418.105,0.368,2.895,2
1.888,3.819,69.686,2.312,1.673,5.932,378.367,0.589,1.653,2
7.402,4.065,72.566,3.737,3.462,8.687,473.167,0.493,0.977,0
29.074,3.066,44.955,2.434,3.389,0.071,90.546,0.739,9.789,1
34.152,2.901,76.729,3.388,4.631,0.987,413.354,0.082,14.596,1
27.977,0.755,65.297,1.937,7.256,8.763,248.783,0.763,0.386,2
6.29,2.487,62.388,3.278,2.706,8.665,194.621,0.237,9.319,1
29.823,1.698,81.083,1.35,3.997,6.686,140.256,0.674,12.775,1
40.195,3.194,87.372,1.802,8.541,6.284,338.636,0.981,10.855,1
35.222,0.407,66.507,2.648,9.292,1.943,81.968,0.7,8.517,1
6.682,2.098,48.351,4.842,2.583,8.935,82.307,0.161,11.408,1
42.436,4.695,43.397,1.856,5.259,0.517,390.371,0.865,4.631,2
4.493,3.21,48.78,1.405,8.647,5.323,451.569,0.219,8.554,1
10.225,1.613,52.485,3.408,9.858,3.179,125.232,0.549,13.605,1
21.482,0.81,83.044,0.769,8.653,9.983,241.353,0.389,12.541,1
38.311,0.269,51.83,0.532,2.414,0.993,269.494,0.972,1.423,2
31.269,3.873,84.233,3.225,9.739,8.503,366.876,0.061,3.86,2
46.778,4.981,81.481,1.683,4.181,2.723,457.303,0.869,2.833,2
8.401,4.403,60.242,2.17,6.84,0.325,231.526,0.865,2.915,2
18.028,4.925,45.84,2.808,3.221,8.676,457.967,0.522,9.517,1
48.426,2.225,58.432,0.932,7.652,5.08,215.289,0.544,0.88,2
36.501,0.876,87.912,1.388,6.539,1.382,153.187,0.12,13.295,1
28.594,0.736,45.922,2.871,3.472,5.0,85.254,0.885,14.239,1
26.812,3.647,64.283,3.459,5.543,2.557,217.371,0.539,3.115,2
15.186,0.046,33.144,2.602,6.63,4.887,313.802,0.806,3.301,2
42.578,4.811,48.687,4.432,3.192,5.21,499.317,0.845,11.175,1
12.099,4.323,84.335,2.97,6.1,0.745,327.728,0.809,3.201,2
42.095,2.766,75.061,1.669,3.801,5.739,175.094,0.193,12.798,1
11.173,1.982,85.758,1.281,3.115,0.592,495.979,0.925,3.553,2
17.252,4.281,54.025,4.484,4.053,8.636,277.888,0.351,4.022,2
26.835,4.528,82.737,1.539,5.826,3.15,442.494,0.493,12.258,1
41.953,0.558,70.313,1.617,8.82,8.237,395.359,0.371,4.814,2
23.833,3.868,81.501,2.726,3.104,0.893,301.843,0.284,8.691,1
41.182,4.411,86.356,4.487,3.759,1.127,50.014,0.465,8.005,1
44.289,0.082,73.379,0.662,5.928,4.371,276.726,0.958,8.611,1
37.392,0.297,82.334,2.717,6.712,0.011,436.499,0.945,9.818,1
43.805,1.705,65.718,2.861,3.398,7.231,420.936,0.073,5.088,1
4.878,3.698,55.299,2.2,6.109,4.065,149.295,0.242,9.091,1
24.073,1.65,38.832,0.419,8.423,8.488,131.645,0.365,7.283,1
31.797,2.238,30.507,1.877,8.138,7.257,491.836,0.749,12.507,1
39.294,2.92,44.848,3.357,5.828,0.427,210.262,0.236,13.672,1
36.864,2.44,52.118,3.401,3.593,9.591,258.184,0.583,9.066,1
2.458,2.447,49.285,0.191,9.056,8.355,51.805,0.845,3.712,1
20.978,4.361,83.893,4.933,7.203,5.7,334.965,0.961,0.725,2
47.531,1.841,43.973,2.187,5.1,6.906,297.672,0.835,0.21,2
35.87,1.345,73.936,2.799,1.711,2.77,156.299,0.031,14.537,1
17.434,2.893,41.5,0.567,7.446,9.569,233.787,0.91,3.36,2
34.76,4.931,83.301,3.989,5.754,3.073,59.514,0.436,14.175,1
27.675,2.112,40.864,4.248,9.972,5.456,267.417,0.128,8.937,1
40.165,1.352,88.0,2.942,2.332,9.059,106.572,0.995,0.381,1
47.96,4.978,52.317,3.628,4.541,6.499,192.75,0.339,1.828,1
33.084,0.582,80.938,4.408,6.088,3.154,458.814,0.244,12.356,1
34.408,2.055,45.241,1.524,3.408,8.564,467.67,0.064,6.214,1
44.772,0.766,69.813,1.123,7.628,2.881,470.892,0.359,5.444,1
39.688,1.497,69.363,0.64,7.333,5.017,382.827,0.752,14.216,1
48.911,3.351,68.12,4.145,4.717,3.328,285.615,0.192,13.728,1
12.27,1.447,59.412,3.762,8.078,5.079,121.244,0.534,11.548,1
20.96,4.704,86.221,1.604,3.565,1.362,391.498,0.405,5.394,1
7.157,2.887,57.791,1.96,5.334,2.109,398.56,0.273,13.606,1
42.964,1.979,69.617,4.893,9.597,8.787,274.386,0.198,6.026,1
48.241,3.197,69.976,2.807,2.035,9.831,249.197,0.732,7.687,1
40.507,1.704,68.615,4.115,8.396,2.955,227.301,0.692,8.851,1
21.453,2.613,68.944,1.933,4.24,4.117,132.532,0.884,3.335,1
11.829,0.468,44.452,0.988,2.692,9.149,386.282,0.746,1.795,2
1.115,1.141,34.969,1.504,3.757,9.289,73.73,0.555,5.966,1
19.758,1.022,87.655,2.989,8.07,1.895,487.231,0.171,1.089,0
36.267,3.187,54.656,0.101,9.716,3.924,143.503,0.592,4.827,1
17.439,2.362,61.539,4.934,1.834,6.066,277.96,0.142,11.591,1
28.492,0.953,58.327,0.684,4.902,3.678,173.3,0.041,1.324,1
34.614,3.559,56.348,0.869,5.365,9.518,150.603,0.533,1.715,1
32.311,2.015,84.257,4.044,3.634,3.788,176.625,0.128,6.531,1
34.749,3.345,47.999,0.381,5.414,0.788,236.948,0.246,13.939,1
45.729,4.126,39.249,4.022,5.729,0.976,139.645,0.446,0.684,1
31.989,2.373,34.532,4.719,2.092,3.704,341.068,0.059,10.884,1
26.361,4.356,85.393,2.521,4.141,8.917,417.641,0.726,3.072,2
29.473,0.355,67.623,3.478,9.853,7.207,190.983,0.252,5.838,1
6.356,4.227,35.831,3.833,2.691,7.228,350.82,0.1,9.698,1
41.832,0.396,63.217,3.349,4.102,1.202,238.075,0.667,4.802,2
37.967,0.407,57.952,3.254,5.45,0.709,320.558,0.338,1.855,2
42.233,0.663,87.804,0.138,1.948,6.836,262.646,0.189,12.418,1
10.205,3.975,61.939,0.202,7.614,7.952,243.354,0.157,14.544,1
15.478,1.271,87.825,3.653,5.988,3.846,212.905,0.345,14.179,1
19.061,3.258,72.939,1.723,9.659,6.834,428.755,0.098,0.316,0
11.929,0.509,72.223,2.471,3.086,2.417,237.451,0.749,11.914,1
38.784,0.293,47.001,2.192,6.976,8.028,234.645,0.168,9.057,1
29.886,3.668,36.529,3.672,2.962,0.954,480.068,0.221,4.699,2
24.74,0.731,64.366,4.271,5.885,1.398,59.623,0.525,10.569,1
20.082,4.492,57.571,0.716,9.757,6.082,452.501,0.069,7.953,1
25.888,1.404,87.115,2.925,2.711,7.425,370.888,0.029,0.217,2
28.95,2.165,41.934,1.315,8.501,8.099,146.581,0.379,5.125,1
48.378,2.721,41.08,0.747,1.598,1.812,404.174,0.356,1.979,0
11.824,2.397,40.498,3.617,8.033,9.574,411.079,0.003,10.699,1
1.517,1.981,39.992,1.663,7.807,2.928,424.746,0.438,13.863,1
16.404,1.093,48.765,2.144,7.958,8.453,271.51,0.158,6.079,1
45.89,4.235,62.339,2.776,2.871,8.831,219.347,0.871,8.838,1
23.336,4.217,81.886,0.846,3.732,8.808,483.512,0.414,13.916,1
45.079,3.524,86.934,3.345,5.499,1.079,134.874,0.999,10.67,1
33.868,0.933,80.64,4.268,3.074,5.617,202.251,0.738,3.876,2
34.572,2.82,44.158,2.652,4.443,3.885,283.37,0.222,12.512,1
32.078,1.531,58.166,4.08,9.825,2.791,381.144,0.65,2.896,2
21.419,4.405,38.09,2.392,7.106,6.609,327.494,0.697,9.142,1
22.913,2.363,69.788,3.147,6.967,4.765,443.141,0.466,1.069,0
27.554,2.562,31.458,3.253,7.907,7.277,185.351,0.252,13.733,1
47.618,0.339,51.937,1.124,3.228,5.582,133.348,0.701,8.353,1
20.403,0.193,68.451,4.741,9.915,5.966,480.865,0.769,8.063,1
48.136,0.886,75.203,4.877,8.339,8.473,103.749,0.783,1.739,1
28.444,3.022,87.204,1.827,5.157,7.934,441.124,0.515,7.904,1
10.747,1.751,75.378,4.244,9.377,8.863,96.0,0.967,7.394,1
5.757,1.634,48.406,0.201,9.511,3.137,268.441,0.045,6.276,1
25.661,0.689,68.393,3.216,2.248,5.57,282.453,0.513,3.724,2
5.165,0.156,74.526,3.916,2.006,7.094,359.101,0.072,8.403,1
17.422,3.144,76.291,1.624,4.786,6.501,395.192,0.387,0.523,2
17.214,3.238,36.009,3.81,9.741,2.015,276.527,0.375,4.699,2
11.556,3.267,76.043,2.203,6.304,8.207,325.878,0.956,0.354,2
28.201,0.007,37.284,2.552,5.181,6.091,275.976,0.344,1.093,2
39.095,0.375,68.69,4.733,6.536,6.83,177.766,0.534,6.49,1
47.027,2.955,75.383,0.41,6.721,1.802,291.081,0.597,14.049,1
29.607,0.476,83.208,1.246,9.943,9.797,262.302,0.548,3.424,2
1.606,1.264,31.825,3.138,4.911,4.938,159.632,0.363,6.676,1
33.767,2.739,83.14,4.685,9.709,1.375,294.325,0.919,0.002,2
35.678,4.942,59.428,4.762,5.956,7.145,174.739,0.062,9.845,1
40.39,1.221,81.264,3.952,8.578,4.169,206.904,0.807,7.01,1
35.855,2.541,56.843,2.419,3.301,8.881,101.402,0.242,2.273,1
48.848,2.954,42.695,1.611,3.493,4.876,423.37,0.814,1.819,0
3.729,1.56,59.218,0.77,3.845,5.97,355.646,0.726,6.404,1
42.588,4.098,71.809,2.039,3.182,1.748,228.505,0.264,8.393,1
44.133,0.702,85.955,2.536,6.069,2.496,58.553,0.786,10.199,1
30.793,0.12,63.966,1.371,3.215,3.322,95.449,0.417,12.285,1
29.702,2.749,64.121,4.232,8.635,8.487,294.939,0.887,1.929,2
13.743,2.117,44.422,2.768,5.789,6.566,156.502,0.746,13.317,1
20.249,2.046,75.659,1.937,8.702,7.88,80.658,0.195,10.532,1
22.208,1.328,44.185,0.583,3.211,5.153,53.424,0.203,10.698,1
31.606,0.392,61.352,4.696,9.425,4.096,303.852,0.774,4.388,2
6.121,3.068,41.889,2.262,8.204,3.146,58.237,0.594,1.894,1
8.171,4.508,61.289,2.527,3.441,8.756,139.434,0.447,4.478,1
27.673,2.241,67.646,3.735,2.42,0.518,175.266,0.349,9.097,1
37.338,4.475,77.592,4.025,5.28,4.757,229.934,0.521,11.182,1
23.35,1.719,77.138,1.463,6.48,0.97,56.522,0.697,10.303,1
44.222,0.639,63.77,3.92,8.516,3.367,182.405,0.603,8.035,1
48.553,3.683,70.755,1.43,6.91,2.356,246.708,0.365,6.27,1
11.327,1.126,86.329,1.785,6.531,8.566,494.193,0.221,14.183,1
12.66,0.8,69.909,4.749,4.755,5.213,475.81,0.621,1.599,0
6.826,0.457,47.784,4.065,7.932,9.237,395.864,0.845,3.724,2
22.172,4.834,83.125,2.441,9.794,7.734,422.382,0.009,9.419,1
36.328,0.063,66.295,0.796,8.288,9.014,189.652,0.027,11.561,1
43.501,3.122,31.897,3.119,8.575,6.031,157.572,0.516,8.937,1
29.343,4.105,89.815,2.83,2.644,5.132,433.452,0.266,10.282,1
3.101,3.392,41.766,1.321,8.492,3.269,340.109,0.118,13.207,1
4.476,4.694,45.101,0.885,9.324,3.94,107.127,0.195,3.468,1
34.418,4.178,76.902,0.777,1.574,7.447,430.515,0.37,3.924,2
17.36,4.423,73.759,2.859,4.595,2.529,248.681,0.885,2.832,2
14.807,2.417,53.836,3.453,5.833,9.207,143.994,0.282,2.933,1
1.3,0.341,72.51,1.774,5.205,6.278,144.572,0.166,6.161,1
3.058,0.394,72.332,0.871,2.66,4.218,238.492,0.33,0.695,2
11.03,0.258,83.217,2.545,5.595,7.618,66.4,0.699,1.932,1
37.595,4.016,88.271,0.8,6.628,8.544,91.634,0.133,14.832,1
19.363,1.824,37.052,0.332,4.969,3.747,67.32,0.743,2.106,1
47.115,1.291,44.735,3.295,4.442,3.587,227.208,0.38,3.101,2
22.923,1.455,43.576,0.149,4.78,5.852,116.529,0.085,3.64,1
26.585,4.815,79.028,1.259,4.956,9.179,373.572,0.651,11.372,1
45.419,1.125,73.634,2.471,7.041,0.009,390.006,0.889,11.992,1
36.572,0.849,37.628,4.131,3.561,2.802,231.271,0.545,10.044,1
4.728,3.702,43.941,2.917,5.778,0.567,242.214,0.044,11.664,1
13.278,1.828,61.743,0.271,7.273,0.15,287.333,0.602,14.838,1
40.389,4.156,59.252,0.655,4.998,0.853,488.978,0.807,0.697,0
4.37,0.277,89.873,2.946,8.283,7.6,125.262,0.078,11.059,1
24.112,1.767,67.873,4.367,3.024,2.716,248.919,0.509,3.511,2
10.314,3.016,38.528,1.098,4.571,8.849,243.861,0.595,11.788,1
16.723,3.061,81.733,0.83,6.196,0.37,315.749,0.647,7.38,1
47.123,1.422,40.577,3.682,4.264,0.354,68.181,0.265,5.206,1
10.093,1.362,49.247,4.091,8.597,1.743,196.705,0.162,1.276,1
11.963,1.268,53.895,4.923,6.952,2.32,303.512,0.474,14.027,1
43.413,1.28,84.976,0.536,5.635,2.272,413.607,0.075,14.793,1
44.578,1.377,34.659,1.419,4.27,6.707,69.279,0.621,9.611,1
30.166,1.215,56.239,0.647,8.091,6.866,373.738,0.397,3.58,2
43.553,1.919,40.701,3.151,9.478,5.615,145.081,0.886,7.489,1
7.144,2.898,70.767,0.229,4.663,0.362,257.982,0.07,10.526,1
33.379,2.812,54.666,0.652,4.304,5.602,252.942,0.526,9.363,1
38.364,4.383,39.009,0.243,1.99,7.571,383.361,0.71,4.202,2
24.796,4.423,83.338,1.412,7.921,4.086,456.621,0.219,10.803,1
19.31,3.253,49.861,2.503,5.75,5.121,156.285,0.05,4.213,1
1.701,4.507,78.6,2.532,4.051,7.831,292.896,0.326,11.835,1
49.846,0.972,35.071,1.772,8.632,8.702,276.841,0.586,10.919,1
24.689,3.96,69.152,2.846,7.355,8.463,102.599,0.787,14.306,1
35.311,1.084,47.418,1.459,7.422,0.248,148.057,0.597,12.358,1
21.549,0.308,73.162,2.891,5.67,6.642,207.014,0.302,12.285,1
20.179,1.764,71.371,0.951,1.608,4.85,457.086,0.127,12.247,1
29.128,2.702,88.159,4.14,5.015,0.828,347.28,0.597,3.702,2
37.231,0.525,45.386,3.938,6.79,9.379,459.045,0.281,9.017,1
24.16,4.679,48.68,2.069,2.093,0.137,256.375,0.426,7.588,1
13.772,3.165,46.539,0.672,2.115,6.705,428.172,0.903,11.362,1
32.338,0.746,38.031,3.045,7.634,4.065,372.97,0.453,0.691,2
19.871,0.56,84.454,3.357,8.87,8.772,106.429,0.732,3.9,1
30.028,4.819,66.854,3.467,6.458,3.373,293.993,0.72,12.063,1
34.217,4.549,61.821,4.418,4.313,8.247,151.049,0.498,8.857,1
47.717,0.57,88.256,2.037,1.82,0.978,362.086,0.13,5.526,1
46.918,4.56,62.627,1.131,2.309,0.532,481.639,0.582,13.617,1
49.919,4.313,74.884,0.615,8.336,9.855,220.411,0.146,5.905,1
33.902,2.988,86.892,0.203,7.856,3.783,170.34,0.225,11.59,1
22.113,2.479,65.448,3.968,6.902,2.382,266.109,0.158,9.953,1
30.558,0.216,37.374,4.178,6.752,1.935,189.361,0.874,1.157,1
32.725,2.46,80.672,1.857,6.604,1.42,434.991,0.007,3.505,2
37.674,1.722,36.097,1.213,8.318,6.511,302.033,0.976,5.539,1
48.08,2.029,86.793,3.582,7.984,1.831,299.576,0.273,8.115,1
4.538,2.215,56.802,3.544,7.544,0.843,112.095,0.617,10.424,1
43.67,2.923,71.322,2.998,3.376,9.026,109.425,0.061,7.364,1
33.171,2.777,80.863,1.615,2.407,9.047,489.063,0.894,7.639,1
25.179,0.846,39.931,1.048,3.93,5.977,484.402,0.367,7.539,1
32.604,0.099,49.891,0.424,7.408,6.918,464.366,0.219,1.885,0
5.786,3.366,70.166,3.613,7.821,8.915,345.853,0.144,9.193,1
12.975,4.147,78.588,1.396,2.072,3.662,178.614,0.684,1.715,1
11.849,1.328,55.942,1.214,6.229,0.756,259.939,0.511,10.539,1
42.195,4.059,80.467,1.169,8.096,1.716,319.125,0.314,4.531,2
15.149,0.674,89.793,4.675,6.944,0.705,333.922,0.193,12.919,1
35.167,3.645,74.592,4.509,2.2,2.231,141.783,0.511,8.669,1
35.045,3.661,56.402,4.828,8.479,2.717,344.515,0.157,2.274,2
49.431,4.061,57.806,4.569,5.569,9.743,477.726,0.814,11.794,1
33.126,4.164,73.516,0.962,4.965,4.481,294.954,0.745,13.306,1
3.723,0.555,86.928,1.054,5.639,2.122,397.841,0.874,5.332,1
6.711,3.061,53.438,3.209,1.983,8.819,354.13,0.19,9.654,1
28.423,0.195,47.674,4.367,5.679,5.19,101.98,0.36,7.371,1
26.597,0.388,34.237,3.438,8.982,8.076,273.752,0.441,3.721,2
15.265,1.651,47.278,3.319,4.91,0.575,337.771,0.398,11.885,1
43.419,4.754,43.652,4.046,8.5,1.309,268.471,0.195,12.767,1
22.693,3.839,62.699,1.473,3.999,9.124,474.608,0.527,6.01,1
38.366,1.82,71.668,4.084,5.506,5.951,98.66,0.897,6.111,1
25.685,4.823,67.165,1.228,8.448,3.188,144.02,0.123,1.332,1
12.147,2.738,34.069,2.922,4.374,7.934,136.933,0.919,14.417,1
2.382,4.294,71.784,2.735,6.528,5.299,491.976,0.232,13.895,1
38.645,0.995,76.715,2.124,9.895,5.007,110.476,0.94,10.571,1
